Timestamp,Where do you usually begin your commute?,Where do you usually end your commute?,How do commute? (Select all that apply),How long do you typically spend commuting/traveling?,How many stops and/or transfers do you make before you reach your final destination,What types of activities are part of your daily travels?,Would you describe yourself as,What factors play into your choice of transportation?,What is your current commute like?,Describe your ideal commute,What is your age?,What is your gender?,DLon,DLat,OLon,OLat,RandLat,RandLon,NewLon,NewLat,TimeAgo
3/22/2017 19:07:41,Elliot Park,Cedar Riverside,"Light Rail, Walk",15-30 minutes,0,"Going to/from work, Travelling between jobs",White/Caucasian,"Affordability, Ease of Use",My morning commute to the university is usually pretty smooth. On cold or rainy days the walk to the LRT can be pretty brutal,"Having the LRT is nice, but a more frequent bus connection that could take me up Portland Ave would be to help me run additional errands on my way home",25- 34 years old,,-93.24188073,44.96915964,-93.26182243,44.97,-0.002,-0.001,-93.26395,44.97,32
3/22/2017 21:45:28,North Loop,Cedar Riverside,"Public Bus, Light Rail",15-30 minutes,1,,,,I stick to the skyways as much as I can in the winter as I make my way to the bus stop to get to work. In summer I'll walk along the river before I jump up to the Green Line at US Bank. ,"Having a faster connection between the North Loop and the university would be invaluable. If its autonomous and electric, even better!",,,-93.24188073,44.96915964,-93.27892249,44.98540273,0.000,0.002,-93.279,44.988,32
3/23/2017 10:14:39,Bryn - Mawr,CARAG,Private Vehicle,15-30 minutes,0,Picking up groceries/running errands,,,Traffic can be bad in the summer by the lakes. I usually drive since I have to take my children to daycare and pick up groceries on the way back,"I love the nice ride bikes, but with 2 kids it's difficult to utilize them. Some sort of trailer could help me enjoy the summer views with my kids on the way to work and let me run some errands as well!",,,-93.29324475,44.94303497,-93.31527125,44.97146774,-0.002,-0.002,-93.317,44.969,31
3/30/2017 16:13:43,Linden Hills,Other - Hennepin County,Private Vehicle,0-15 minutes,0,Taking children to school/childcare/activities,White/Caucasian,"Convenience, Weather",Fast and easy. I go from home to my child's daycare and then back again (to work from my home office).,I wouldn't mind a self-driving car to chauffeur us so I could use the time to interact with my child before he's dropped off for a school day.,25- 34 years old,,-93.4739,45.01,-93.31871949,44.92751673,-0.005,0.003,-93.323,44.931,24
3/30/2017 16:21:29,King Field,Downtown West,"Private Vehicle, Public Bus, Bike",15-30 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use",Short!,I think I have my ideal commute!,35- 44 years old,,-93.2701272,44.9778478,-93.28148939,44.92866077,-0.002,-0.005,-93.284,44.924,24
3/30/2017 16:22:03,Linden Hills,Other - Hennepin County,Private Vehicle,30-60 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,Time,I'm snaking through neighborhoods due to construction on 169. This was the same situation last year with Hwy 7 construction. My gas mileage is atrocious. ,A way to quickly get from point A to B while I could work would be amazing. ,35- 44 years old,,-93.4739,45.01,-93.31871949,44.92751673,0.004,-0.002,-93.315,44.926,24
3/30/2017 16:24:49,Lynnhurst,Minnehaha,Private Vehicle,15-30 minutes,1,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience","It's short, but can still have traffic","No wait,  no worry,  no stress, no traffic ",35- 44 years old,,-93.21385221,44.90977565,-93.29843971,44.91230805,-0.001,0.000,-93.300,44.912,24
3/30/2017 16:25:58,Downtown East,Downtown East,Walk,0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use, Weather",I moved downtown so I could walk to work. I love walking but after 8 plus years of walking up and down Hennepin am no longer satisfied with it being a safe way to get to work. I am often one of the only people walking and don't like that feeling. ,"A clean, safe, direct way to get to and from all the major areas in the city. I wish the answe wasn't a private car, but for Minneapolis it seems like it is. ",25- 34 years old,,-93.25411332,44.9760663,-93.25411332,44.9760663,0.002,-0.001,-93.252,44.975,24
3/30/2017 16:29:22,Hiawatha,Downtown East,"Light Rail, Bike",15-30 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience",Great,Short and hands off ,35- 44 years old,,-93.25411332,44.9760663,-93.20994003,44.92172005,0.003,0.001,-93.207,44.923,24
3/30/2017 16:29:40,Fulton,Other - Hennepin County,Private Vehicle,15-30 minutes,1,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use","Easy - a quick drive, but would love if there was a public transit option",20-30 mins on public transport or being driven ,25- 34 years old,,-93.4739,45.01,-93.31884514,44.91156251,0.001,-0.005,-93.318,44.907,24
3/30/2017 16:30:16,Armatage,Steven's Square - Loring Heights,Private Vehicle,15-30 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,Convenience,I like staying on city streets and avoiding the highway first thing in the morning before the coffee has really absorbed well. I also get to take the parkway along minnehaha creek which I find relaxing. On the way home I'm rushing so I take 35W. ,A Self driving car to take me to work so I can drink coffee and look at Instagram would be pretty awesome.,35- 44 years old,,-93.27731446,44.96430573,-93.31124529,44.89800605,-0.002,0.001,-93.313,44.899,24
3/30/2017 16:30:30,Other - Hennepin County,Other - Ramsey County,Private Vehicle,15-30 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use","Quiet, a good time to catch up on podcasts ","Quiet and private, but someone else doing the driving so I don't have to deal with the stress of other drivers. ",35- 44 years old,,-93.09962,45.017167,-93.4739,45.01,0.007,0.070,-93.467,45.080,24
3/30/2017 16:32:18,Fulton,Downtown West,"Private Vehicle, Public Bus",15-30 minutes,3 or more,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use, Weather","I try to time to either take the bus during peak rush hour or wait until off-peak time to commute to avoid traffic. I don't enjoy much about commuting - city bus is great to catch up on reading/news instead of driving, but they don't have wifi like the suburban commuter buses. I'm at the beginning of my commuter bus line so I have more stops. I wish they offered pickup times, e.g. until 9 (my latest is 8:15). ",Shorter bus commute time or less traffic - anything to speed it up!,25- 34 years old,,-93.2701272,44.9778478,-93.31884514,44.91156251,0.001,-0.004,-93.318,44.908,24
3/30/2017 16:37:57,Other - Hennepin County,Downtown West,Private Vehicle,0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Convenience, Weather",Easy,Short,35- 44 years old,,-93.2701272,44.9778478,-93.4739,45.01,-0.096,0.080,-93.570,45.090,24
3/30/2017 16:39:33,Other - Carver County,Downtown East,"Private Vehicle, Public Bus, Carpool",30-60 minutes,1,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use, Weather","I love the bus. It can be a bit long, but I get to do other things than focus on traffic: knit, read, sleep, work, play on my phone. It is especially great with winter storms. ",Faster wifi on the bus :),35- 44 years old,,-93.25411332,44.9760663,-93.802596,44.820683,-0.049,0.009,-93.852,44.830,24
3/30/2017 16:40:49,Linden Hills,Downtown East,"Private Vehicle, Public Bus",0-15 minutes,0,"Going to/from work, Taking children to school/childcare/activities",White/Caucasian,"Convenience, Ease of Use",Not bad,bus so I can do something on way to and from work,25- 34 years old,,-93.25411332,44.9760663,-93.31871949,44.92751673,-0.005,-0.001,-93.324,44.927,24
3/30/2017 16:43:58,Other - Hennepin County,Other - Hennepin County,Private Vehicle,0-15 minutes,1,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use",Almost a straight drive with little highway time.,to the couch.,35- 44 years old,,-93.4739,45.01,-93.4739,45.01,0.092,0.061,-93.382,45.071,24
3/30/2017 16:59:01,Fulton,Other - Hennepin County,Private Vehicle,0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use, Weather",Easy drive up Hwy 100 during off peak traffic times 10am and 6pm. ,Mostly highway with little traffic.,35- 44 years old,,-93.4739,45.01,-93.31884514,44.91156251,-0.003,0.001,-93.322,44.912,24
3/30/2017 17:01:16,Northeast Park,Downtown West,"Private Vehicle, Public Bus, Bike",0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use, Weather","In the warmer months, I enjoy the ability to bike commute.  It starts my day off with activity and helps to wake me up, get some fresh air, and avoid sitting in traffic (mostly).  In the winter, I mostly drive a private vehicle, and sometimes bus.  I prefer to bus in general, but my current walk to and from the bus stop on either end of the commute is difficult to sustain in the very cold times of the year.",Biking on a sunny day across the stone arch bridge! ,25- 34 years old,,-93.2701272,44.9778478,-93.22986453,45.0041781,0.000,0.003,-93.230,45.007,24
3/30/2017 17:06:55,St. Anthony East,Downtown West,Private Vehicle,0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",Black/African American,"Convenience, Weather","Short, easy, quick","Short, relaxing, convenient",25- 34 years old,,-93.2701272,44.9778478,-93.2527795,44.99561203,-0.005,-0.001,-93.257,44.995,24
3/30/2017 17:10:29,Other - Hennepin County,Other - Ramsey County,Private Vehicle,15-30 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use",,,25- 34 years old,,-93.09962,45.017167,-93.4739,45.01,0.138,-0.043,-93.336,44.967,24
3/30/2017 17:34:15,Lynnhurst,Other - Ramsey County,Private Vehicle,30-60 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use",Too much highway.,Ideal would be walking.,45- 54 years old,,-93.09962,45.017167,-93.29843971,44.91230805,0.005,-0.001,-93.294,44.911,24
3/30/2017 17:34:23,Other - Hennepin County,Other - Dakota County,Private Vehicle,15-30 minutes,0,Going to/from work,White/Caucasian,Convenience,I constantly tweak my commute schedule and route based on traffic ,"I would love to not have to drive for my commute. With where I live and where I work, public transit is just not extensive enough to match the convenience of driving my own car. A self driving car would be ideal as I wouldn't have to deal with driving, and it would be incredibly convienent ",25- 34 years old,,-93.065505,44.671868,-93.4739,45.01,-0.018,0.032,-93.492,45.042,24
3/30/2017 17:39:47,Macalester-Groveland,Macalester-Groveland,Walk,0-15 minutes,0,Taking children to school/childcare/activities,Hispanic/Latino,"Affordability, Convenience, Ease of Use, Weather",,,35- 44 years old,,-93.17450911,44.93398858,-93.17450911,44.93398858,-0.003,-0.003,-93.177,44.931,24
3/30/2017 18:25:46,Lynnhurst,Other - Hennepin County,Private Vehicle,1 hour or more,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use",Hate it. Wish there was a bus without transfers,Bus/train,35- 44 years old,,-93.4739,45.01,-93.29843971,44.91230805,0.000,0.003,-93.299,44.915,24
3/30/2017 18:42:01,Waite Park,Downtown West,"Private Vehicle, Public Bus",30-60 minutes,3 or more,"Going to/from work, Picking up groceries/running errands",Other,"Affordability, Convenience, Ease of Use","It's incredibly easy. My only complaints are that the bus from NE is less frequent than from uptown (to be expected). I would actually liked to drive to work for the freedom to leave when I choose, but parking downtown is untenable. ",A self-driving car with no wait or concern for parking would be heaven. ,25- 34 years old,,-93.2701272,44.9778478,-93.23612467,45.02901763,-0.003,0.004,-93.239,45.033,24
